P_NAME,P_MASS,P_PERIOD,P_SEMI_MAJOR_AXIS,S_DISTANCE,S_MASS,S_RADIUS,S_TEMPERATURE,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,S_LUMINOSITY,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI
USco CTIO 108 b,4449.592,,670,144.29,0.06,,2700,670,,,,0,0,0,
UZ For b,2002.3164,5840,5.9,239.6,0.7,,,5.90472,,,,0,0,0,
UZ For c,2447.2756,1916.25,2.8,239.6,0.7,,,2.8035,,,,0,0,0,
V0391 Peg b,1017.0496,1170,1.7,1400,0.5,0.23,29300,1.7,12.086956,475.0334,34.931304,0,0,0,0.1474187
V1298 Tau b,,24.13861,0.1687,108.5,1.1,1.31,4970,0.16975809,33.171702,609.97203,0.93811654,0,0,0,0.11641736
V830 Tau b,222.4796,4.927,0.057,150,1,2,4250,0.057,359.87746,1109.6437,1.1692419,0,0,0,0.067311198
VHS J125601.92-125723.9 b,3559.6736,,102,12.7,0.07,,2620,102,6.92E-08,4.1327843,0.00072043,0,0,0,0.071733456
WASP-1 b,271.42511,2.5199454,0.03889,397.29,1.24,1.47,,0.03889,,,,0,0,0,
WASP-10 b,1001.1582,3.0927616,0.03781,141.57,0.75,0.7,4675,0.03781,146.6891,886.63397,0.20970616,0,0,0,0.080435213
WASP-100 b,400.46328,2.84938,,368.28,0.77,1.57,6900,0.036044586,3853.0464,2007.2246,5.0059247,0,0,0,0.06102696
WASP-101 b,162.09228,3.58572,,202.39,1.41,1.31,6380,0.05140044,964.22919,1419.6784,2.5474986,0,0,0,0.057987188
WASP-103 b,473.56372,0.925542,0.01985,470,1.22,1.44,6110,0.01985,6571.3931,2293.8197,2.5892767,0,0,0,0.053712577
WASP-104 b,404.27722,1.7554137,0.02918,143,1.08,0.96,5475,0.02918,871.35882,1384.1851,0.74193799,0,0,0,0.071132043
WASP-105 b,572.09041,7.87288,0.075,252.52,0.89,0.9,5070,0.075,85.24776,774.13313,0.47951865,0,0,0,0.093637727
WASP-106 b,514.88136,9.28971,,355.69,0.93,1.31,6055,0.084399261,290.14196,1051.4716,2.0667494,0,0,0,0.080628912
WASP-107 b,38.13936,5.72149,0.055,64.86,0.69,0.66,4430,0.055,49.689662,676.41218,0.15031123,0,0,0,0.10389829
WASP-11 b,251.08412,3.72247,,125.12,1.42,0.89,4800,0.052823415,135.01458,868.44052,0.37673295,0,0,0,0.079296141
